#teameditpage,,,,,,,
battle_teamedit_page_title,Team,,隊伍,,,,
teamedit_adjust_hero,Hero Adjustments,,星神調整,,,,
teamedit_adjust_detail,Configuration details,,配置詳情,,,,
teamedit_monstergod,Beast God,,獸神,,,,
teamedit_pet,Pet,,寵物,,,,
,,,,,,,
#stagepage,,,,,,,
StageBoss,Leader,,頭目,,,,
StageFinalBoss,Boss,,首領,,,,
ChapterRewardButton,Chapter rewards,,章節獎勵,,,,
StagePageTitle,Main line,,主線,,,,
MainPageQuestButton,Task,,任務,,,,
MainPageQuestButton2,Travel notes,,遊記,,,,
StagePageMainStoryButton,Action record,,行動記錄,,,,
AutoBattleButton,Auto battle,,自動戰鬥,,,,
ChapterRewardCount,<size=13>Completion</size>,,完成度,,,,
TeamLockButton,Team Lock,,隊伍,,,,
ChapterDifficultyNormal,Normal,,一般,,,,
ChapterDifficultyHard,Hard,,精英,,,,
StageSelectionHelpTitle,Main line,,主線,,,,
StageSelectionHelpContent,Main gameplay,,主線玩法,,,,
ChapterRewardPopupTips,Clear chapter {0} again to receive rewards!,,再通關{0}章，即可領取獎勵！,,,,
ChapterRewardPopupGoButton,Go to main line,,前往主線,,,,
ChapterProgressRewardPreview,Reward Preview,,獎勵預覽,,,,
ChapterClearBanner,Completed this chapter,,已完成此章節,,,,
ChapterAllClearNormal,Completed this chapter,,已完成此章節,,,,
ChapterAllClearHard,Completed this chapter,,已完成此章節,,,,
ChapterHardLockedTips,Unlock the elite chapter after reaching level 55,,到達55級後解鎖精英章節,,,,
SkipBattleLockedTips,Unlocked after clearing Chapter 4 to skip battle,,通關第4章後解鎖跳過戰鬥,,,,
BattleTimeScale3LockedTips,Unlock x3 speed after clearing level 6-3,,通關6-3後解鎖x3速度,,,,
SkipBossBattleLockedTips,Cannot skip bosses or boss battles,,不能跳過頭目或首領戰鬥,,,,
,,,,,,,
#ChapterTitle,,,,,,,
ChapterTitle1,Chapter 1,,第1章,,,,
ChapterTitle2,Chapter 2,,第2章,,,,
ChapterTitle3,Chapter 3,,第3章,,,,
ChapterTitle4,Chapter 4,,第4章,,,,
ChapterTitle5,Chapter 5,,第5章,,,,
ChapterTitle6,Chapter 6,,第6章,,,,
ChapterTitle7,Chapter 7,,第7章,,,,
ChapterTitle8,Chapter 8,,第8章,,,,
ChapterTitle9,Chapter 9,,第9章,,,,
ChapterTitle10,Chapter 10,,第10章,,,,
ChapterTitle11,Chapter 11,,第11章,,,,
ChapterTitle12,Chapter 12,,第12章,,,,
ChapterTitle13,Chapter 13,,第13章,,,,
ChapterTitle14,Chapter 14,,第14章,,,,
ChapterTitle15,Chapter 15,,第15章,,,,
ChapterTitle16,Chapter 16,,第16章,,,,
ChapterTitle17,Chapter 17,,第17章,,,,
ChapterTitle18,Chapter 18,,第18章,,,,
ChapterTitle19,Chapter 19,,第19章,,,,
ChapterTitle20,Chapter 20,,第20章,,,,
ChapterTitle21,Chapter 21,,第21章,,,,
ChapterTitle22,Chapter 22,,第22章,,,,
ChapterTitle23,Chapter 23,,第23章,,,,
ChapterTitle24,Chapter 24,,第24章,,,,
ChapterTitle25,Chapter 25,,第25章,,,,
ChapterTitle26,Chapter 26,,第26章,,,,
ChapterTitle27,Chapter 27,,第27章,,,,
ChapterTitle28,Chapter 28,,第28章,,,,
ChapterTitle29,Chapter 29,,第29章,,,,
ChapterTitle30,Chapter 30,,第30章,,,,
ChapterTitle31,Chapter 31,,第31章,,,,
ChapterTitle32,Chapter 32,,第32章,,,,
ChapterTitle33,Chapter 33,,第33章,,,,
ChapterTitle34,Chapter 34,,第34章,,,,
ChapterTitle35,Chapter 35,,第35章,,,,
ChapterTitle36,Chapter 36,,第36章,,,,
ChapterTitle37,Chapter 37,,第37章,,,,
ChapterTitle38,Chapter 38,,第38章,,,,
ChapterTitle39,Chapter 39,,第39章,,,,
ChapterTitle40,Chapter 40,,第40章,,,,
ChapterTitle41,Chapter 41,,第41章,,,,
ChapterTitle42,Chapter 42,,第42章,,,,
ChapterTitle43,Chapter 43,,第43章,,,,
ChapterTitle44,Chapter 44,,第44章,,,,
ChapterTitle45,Chapter 45,,第45章,,,,
ChapterTitle46,Chapter 46,,第46章,,,,
ChapterTitle47,Chapter 47,,第47章,,,,
ChapterTitle48,Chapter 48,,第48章,,,,
ChapterTitle49,Chapter 49,,第49章,,,,
ChapterTitle50,Chapter 50,,第50章,,,,
ChapterTitle51,Chapter 51,,第51章,,,,
ChapterTitle52,Chapter 52,,第52章,,,,
ChapterTitle53,Chapter 53,,第53章,,,,
ChapterTitle54,Chapter 54,,第54章,,,,
ChapterTitle55,Chapter 55,,第55章,,,,
ChapterTitle56,Chapter 56,,第56章,,,,
ChapterTitle57,Chapter 57,,第57章,,,,
ChapterTitle58,Chapter 58,,第58章,,,,
ChapterTitle59,Chapter 59,,第59章,,,,
ChapterTitle60,Chapter 60,,第60章,,,,
ChapterTitle61,Chapter 61,,第61章,,,,
ChapterTitle62,Chapter 62,,第62章,,,,
ChapterTitle63,Chapter 63,,第63章,,,,
ChapterTitle64,Chapter 64,,第64章,,,,
ChapterTitle65,Chapter 65,,第65章,,,,
ChapterTitle66,Chapter 66,,第66章,,,,
ChapterTitle67,Chapter 67,,第67章,,,,
ChapterTitle68,Chapter 68,,第68章,,,,
ChapterTitle69,Chapter 69,,第69章,,,,
ChapterTitle70,Chapter 70,,第70章,,,,
ChapterTitle71,Chapter 71,,第71章,,,,
ChapterTitle72,Chapter 72,,第72章,,,,
ChapterTitle73,Chapter 73,,第73章,,,,
ChapterTitle74,Chapter 74,,第74章,,,,
ChapterTitle75,Chapter 75,,第75章,,,,
ChapterTitle76,Chapter 76,,第76章,,,,
ChapterTitle77,Chapter 77,,第77章,,,,
ChapterTitle78,Chapter 78,,第78章,,,,
ChapterTitle79,Chapter 79,,第79章,,,,
