,,,,,,,
#AuctionMainPage,,,,,,,
AuctionMainPageTitle,Auction,,戰利品,,,,
AuctionMainPageTabDividend,Dividend rewards,,分紅獎勵,,,,
AuctionMainPageTabGuild,Guild Auction,,公會拍賣,,,,
AuctionMainPageTabServer,Server Auction,,本服拍賣,,,,
AuctionMainPageButtonWishList,Wish list,,心願清單,,,,
AuctionMainPageButtonBidRecord,Bid record,,拍賣記錄,,,,
AuctionItemBarLeading,Leading,,領先,,,,
AuctionItemBarBidding,Under bid...,,競拍中...,,,,
AuctionItemBarNotLeading,Being overtaken,,被超,,,,
AuctionItemBarSold,Sold,,已經出售,,,,
AuctionItemBarNoBid,Bid has been lost,,已流標,,,,
AuctionItemBarButtonBid,Bid,,競價,,,,
AuctionItemBarButtonBuy,Buy,,購買,,,,
AuctionItemBarTimeBefore,"After {0}
The auction starts ",," after {0}
Auction starts",,,,
AuctionItemBarTime,"After {0}
After the auction ends",,"{0}
Auction ends",,,,
AuctionItemBarTimeEnd,Auction ends,,拍賣結束,,,,
AuctionItemBarNotEnoughGem,Not enough gems,,石數不足,,,,
,,,,,,,
#AuctionSubPageDividend,,,,,,,
AuctionDividendAirshipStart,Opens at 19:45,,19:45開啟,,,,
AuctionDividendEventStart,Open at 20:00,,20:00開啟,,,,
AuctionDividendEventEnd,Finished,,已結束,,,,
AuctionDividendCellReward,Activity rewards,,活動獎勵,,,,
AuctionDividendCellAttend,Participation,,參加,,,,
AuctionDividendCellBid,Bid,,拍賣,,,,
AuctionDividendCellTips,You can collect it after the guild auction ends.,,公會競拍結束後可領取,,,,
AuctionDividendCellNotStart,Not started yet,,未開始,,,,
,,,,,,,
#AuctionSubPageGuild,,,,,,,
AuctionSubPageGuildTab_0,Galaxy Railway,,銀河鐵道,,,,
AuctionSubPageGuildTab_1,The gods return,,諸神回歸,,,,
AuctionSubPageGuildTips,Purchasing guild loot can slightly increase loot rewards,,購買公會戰利品可以少量提升戰利品獎勵,,,,
AuctionSubPageGuildNotStart,"Today's auction has not started yet
please come back later

<color=#0078FF>20:00</color>The auction will start after the guild event",,"Today's auction has not started yet
please come back later

<color=#0078FF>20:00</color>The auction will start after the guild event",,,,
,,,,,,,
#AuctionSubPageServer,,,,,,,
AuctionSubPageServerTab_0,Role,,角色,,,,
AuctionSubPageServerTab_1,Beast god,,獸神,,,,
AuctionSubPageServerTab_2,Tool,,道具,,,,
AuctionSubPageServerTab_3,Other,,其他,,,,
