#Skill Dialog,,,,,,,
SkillLine_110107,Shine，sun!,,閃耀吧、太陽!,,,,
SkillLine_110207,I am the power!,,我就是力量!,,,,
SkillLine_110307,Victory and glory be with me!,,勝利與榮耀與我同在!,,,,
SkillLine_110407,My holy water can cleanse the heart~,,我的聖水可洗滌人心~,,,,
SkillLine_110507,Never allow any dirt to exist!,,絕不容許任何污垢的存在!,,,,
SkillLine_110607,Want to play together~?,,要一起玩喵~?,,,,
SkillLine_110707,,,,,,,
SkillLine_120107,No one can escape my hunt,,沒有人能逃出我的狩獵,,,,
SkillLine_120207,Even enemies should be treated equally,,即使是敵人也要平等對待,,,,
SkillLine_120307,The sound made when sawing the body is not ordinary.~,,鋸開身體時發出的聲音可不是一般的好聽唷~,,,,
SkillLine_120407,Ah~ I don’t want to work anymore…,,啊~不想幹活了…,,,,
SkillLine_120507,My breasts can bring you comfort~,,我的胸部可給你帶來慰藉噢~,,,,
SkillLine_120607,Let me protect everyone!,,讓我來守護大家吧!,,,,
SkillLine_120707,Leave the attack to me!,,攻擊就交給我吧!,,,,
SkillLine_120807,,,,,,,
SkillLine_120907,,,,,,,
SkillLine_121007,,,,,,,
SkillLine_130107,I hope there won’t be another war,,希望不要再有戰爭了,,,,
SkillLine_130207,Only Artemis…,,只有Artemis…,,,,
SkillLine_130307,My faith is these fists!,,我的信仰就是這雙拳頭!,,,,
SkillLine_130407,Let me guide you ~ Lost Lamb,,讓我引導你們吧~迷途的羔羊,,,,
SkillLine_130507,Aha~ Lu Ge will never fail~,,啊哈~Lu Ge是不會失敗的~,,,,
SkillLine_140104,.....Cut,,.....斬,,,,
SkillLine_140207,Eternal rest is the best blessing…,,永遠的安息才是最好的祝福…,,,,
SkillLine_140307,Be my slave!,,成為我的奴隸吧!,,,,
SkillLine_140407,Listen to me sing~!,,聽我唱歌吧~!,,,,
SkillLine_140507,Do you want to eat and rest first? Or me~,,想先吃飯、休息?還是我~,,,,
SkillLine_140607,Knowledge is power~,,知識就是力量~,,,,
,,,,,,,
,,,,,,,
#monster god,,,,,,,
monstergod_empty,Not equipped,,未裝備,,,,
MonsterGodStar,Beast god star number,,獸神星數,,,,
,,,,,,,
monster_god_name_2001,Sphinx,,斯芬克斯,,,,
monster_god_name_2002,Hydra,,海德拉,,,,
monster_god_name_2003,Jormungandr,,耶夢加得,,,,
monster_god_name_2004,Cerberus,,刻耳柏洛斯,,,,
,,,,,,,
#FormationMainPage,,,,,,,
FormationMainPage_Title,Team,,隊伍,,,,
FormationMainPage_Help_Title,,,,,,,
FormationMainPage_Help_Content,,,,,,,
FormationMainPage_TipText,,,,,,,
FormationMainPage_TeamEdit,Edit,,編隊,,,,
FormationMainPage_BottomPetList,Supporters,,星神調整,,,,
FormationMainPage_notEnoughSixHero,Need to deploy at least 6 heroes,,上陣6名星神後方可進入頁面,,,,
