#Daily Wish,,,,,,,
DailyWish_record,观星记录,,觀星記錄,,,,
DailyWish_help,观星说明,,觀星說明,,,,
DailyWish_heart_upgrade,心灵升级,,心靈升級,,,,
DailyWish_ReachRequirement,今日储值金额已满足,,今日儲值金額已滿足,,,,
DailyWish_remainText,可观星次数：{0},,可觀星次數：{0},,,,
DailyWish_recordText,您观星<#1166cc>1</color>次，获得：,,您觀星<#1166cc>1</color>次，獲得：,,,,
DailyWishRecordPopupTitle,观星记录,,觀星記錄,,,,
DailyWishNoDrawChanceAlert,没有观星次数,,沒有觀星次數,,,,
DailyWishHowToPlay,"观星说明
1、每日储值任意金额，可获得一次观星机会。
2、每次观星，可随机获得星空上的一份奖励，奖励被领取后 将从星空上消失，下次观星时将从剩余的奖励中获取。
3、每轮星空上共有12份奖励，观星12次即可全部领取。
4、每轮星空奖励被全部领取后，奖励将重置，玩家可继续参与活动。",,"觀星說明
1、每日儲值任意金額，可獲得一次觀星機會。
2、每次觀星，可隨機獲得星空上的一份獎勵，獎勵被領取後 將從星空上消失，下次觀星時將從剩餘的獎勵中獲取。
3、每輪星空上共有12份獎勵，觀星12次即可全部領取。
4、每輪星空獎勵被全部領取後，獎勵將重置，玩家可繼續參與活動。",,,,
,,,,,,,
#Function Name,,,,,,,
ProcessUnlockPopup_title,新功能解锁,,新功能解鎖,,,,
Func_name_ClanTower,镇魂作战,,鎮魂作戰,,,,
,,,,,,,
,,,,,,,
#HoroscopePage,,,,,,,
Horoscope_level_alert,到达13级后解锁,,到達13級後解鎖,,,,
HoroscopePage_State,加成总览,,加成總覽,,,,
HoroscopePage_OenClickStart,一键启动,,一鍵啟動,,,,
HoroscopePage_Object_MosterGod,对象:兽神,,對象:獸神,,,,
HoroscopePage_Object_Player,对象:全部上阵角色,,對象:全部上陣角色,,,,
HoroscopePage_MosterGod_Total,兽神总攻击力:{0}<#1166cc>(+{1})</color>,,獸神總攻擊力:{0}<#1166cc>(+{1})</color>,,,,
Horoscope_Help_Title,契约纹,,契約紋,,,,
Horoscope_Help_Content,"1. 可以使用更新指令提升契约纹Grade。
2. 更新指令可以在主线中获得。",,"1. 可以使用更新指令提升契約紋等級。
2. 更新指令可以在主線中獲得。",,,,
HoroscopePage_Title,契约纹,,契約紋,,,,
HoroscopeInfoPopup_Title,加成总览,,加成總覽,,,,
#LoginReward,,,,,,,
LoginRewardPageTitle,登入奖励,,登入獎勵,,,,
LoginReward_month_1,1月,,1月,,,,
LoginReward_month_2,2月,,2月,,,,
LoginReward_month_3,3月,,3月,,,,
LoginReward_month_4,4月,,4月,,,,
LoginReward_month_5,5月,,5月,,,,
LoginReward_month_6,6月,,6月,,,,
LoginReward_month_7,7月,,7月,,,,
LoginReward_month_8,8月,,8月,,,,
LoginReward_month_9,9月,,9月,,,,
LoginReward_month_10,10月,,10月,,,,
LoginReward_month_11,11月,,11月,,,,
LoginReward_month_12,12月,,12月,,,,
LoginReward_periodFormat,{0}/{1}-{2}/{3}为止,,{0}/{1}-{2}/{3}為止,,,,
